,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2014-12-11,4165.0,1.085105,0.06460204312025103,0.9674,0.052630550000000005
2014-12-12,-2490.0,1.082615,0.0654191009731068,0.97681,0.0
2014-12-15,2780.0,1.085395,0.06619594709760042,0.990825,0.018499950000000005
2014-12-16,2840.0,1.088235,0.0671566803126163,1.008475,0.014282100000000002
2014-12-17,2120.0,1.090355,0.06660917774486291,1.001995,0.0
2014-12-18,17275.0,1.10763,0.06547375928784883,1.03601,0.0560414
2014-12-19,-6540.0,1.10109,0.06304189484964899,0.99164,0.025889500000000003
2014-12-22,-1105.0,1.099985,0.06627604012781993,1.006095,0.03354
2014-12-23,3390.0,1.103375,0.06589541180469016,1.003905,0.014945000000000002
2014-12-24,-5120.0,1.098255,0.06926351348275218,1.0515,0.03740835000000001
2014-12-25,-2275.0,1.09598,0.06603190751656053,0.997995,0.0125405
2014-12-26,-3160.0,1.09282,0.06619429549239583,0.997635,0.0
2014-12-29,-1735.0,1.091085,0.06660993414811862,1.00193,0.029899100000000005
2014-12-30,820.0,1.091905,0.06862730732069182,1.03245,0.0471282
2014-12-31,735.0,1.09264,0.0681557969688095,1.025025,0.04756640000000001
2015-01-05,-6740.0,1.0859,0.06319854498572612,0.98039,0.01972835
2015-01-06,-3530.0,1.08237,0.06957759361401371,1.03691,0.0342463
2015-01-07,-2575.0,1.079795,0.0671782606883714,0.998125,0.038735900000000004
2015-01-08,-1735.0,1.07806,0.06785494313860081,1.00731,0.0316806
2015-01-09,1645.0,1.079705,0.06073751626601711,0.89898,0.02401875
2015-01-12,8200.0,1.087905,0.06188669966587156,0.923855,0.0028192500000000006
2015-01-13,8725.0,1.09663,0.06086692868150607,0.95355,0.0389355
2015-01-14,-3300.0,1.09333,0.06105768615148218,0.95366,0.03515050000000001
2015-01-15,-4050.0,1.08928,0.061990948149236204,0.96465,0.0
2015-01-16,-3110.0,1.08617,0.06215104449579716,0.96438,0.0
2015-01-19,2250.0,1.08842,0.06296144870546298,0.94255,0.060001200000000005
2015-01-20,-5255.0,1.083165,0.06624360092875971,0.988825,0.04180400000000001
2015-01-21,-1150.0,1.082015,0.0665285139300287,0.991255,0.0238504
2015-01-22,-3685.0,1.07833,0.06445086383574601,0.95509,0.042081200000000006
2015-01-23,1035.0,1.079365,0.06933789774543367,1.03147,0.04460995
2015-01-26,-7865.0,1.0715,0.06853191787214187,1.011685,0.0
2015-01-27,-835.0,1.070665,0.06647289301508877,0.97866,0.0233093
2015-01-28,2170.0,1.072835,0.06667092330134644,0.98387,0.0
2015-01-29,-75.0,1.07276,0.06915414444983034,1.02224,0.023471350000000005
2015-01-30,1030.0,1.07379,0.06465384293018188,0.954995,0.039826850000000004
2015-02-02,3640.0,1.07743,0.06899566561168707,1.0241,0.039713450000000004
2015-02-03,7380.0,1.08481,0.06954526599127958,1.03982,0.0
